0.1,1.1,-1.4,0.1,-0.7,-0.6,-0.1,-1.0,-0.4,-0.6,0.1,-0.7,0.1,0.3,-0.4,0.3,-0.3,-1.5,0.4,-0.5,0.1,0.1,-0.2,-1.3,-0.8,0.1,-1.1,0.2,1.8,-1.5,0.1,62.1,1.6,0.6,0.1,1.0,-1.7,1.5,-0.4,-0.2,-0.6,-1.2,0.3,-0.3,-0.2,-1.3,1.1,1.3,-0.2,0.6,-0.9,0.6,-0.1,-1.2,0.9,0.1,-1.1,0.2,0.9,-0.2,-1.4,0.4,0.1,-1.3,-1.2,0.7,-0.8,0.2,-0.5,0.1,0.1,1.6,0.1,-1.1,-1.3,-1.4,0.3,-0.2,0.2,0.4,0.2,-0.1,-0.6,1.6,-0.2,-0.8,-0.6,-0.3,0.1,-0.7,0.3,0.2,0.1,0.6,-0.1,1.7,0.1,1.1,0.4,0.5
-0.8,1.0,-0.3,-0.7,0.1,0.2,-0.6,0.2,-0.8,0.8,0.4,0.8,0.7,0.6,0.6,0.5,0.4,0.6,1.3,0.5,-0.1,0.6,0.4,-1.3,1.0,1.4,-1.6,0.1,1.2,0.1,0.5,1.6,75.8,-0.7,-1.6,0.4,-0.2,-0.6,-1.0,-0.3,0.1,-1.0,0.6,-1.7,-0.3,-1.0,-0.4,-1.0,1.2,0.6,-1.1,-0.8,0.8,0.5,-1.8,-0.9,0.6,0.3,0.1,1.2,-1.2,1.8,1.3,0.8,1.4,1.5,-0.2,-1.3,-0.1,-0.4,-0.9,-0.2,1.2,-0.8,0.6,1.2,-0.9,1.8,-0.8,-0.6,1.0,-0.6,1.0,0.2,0.5,-0.2,0.7,-1.2,1.0,-0.5,0.5,0.8,-0.7,1.2,0.3,-0.8,-0.2,-0.7,-1.3,0.8
-0.4,-0.2,-0.1,-0.2,0.4,0.1,-0.2,-0.7,1.1,0.6,0.1,1.4,-0.8,-1.6,-0.6,-0.6,0.4,0.6,0.1,0.7,1.1,-1.4,0.1,1.5,0.5,-0.4,-1.0,0.7,0.2,-0.3,0.1,0.6,-0.7,62.5,-0.9,0.1,0.6,-1.5,-0.5,0.1,0.2,0.7,0.3,1.1,1.3,-0.1,-0.8,-0.3,0.5,-1.2,0.7,-1.7,-0.4,0.6,-0.3,-0.3,0.3,-0.6,0.7,-0.3,1.2,0.7,0.2,-0.1,-1.1,0.5,-0.1,0.4,1.0,0.9,-0.1,-0.7,-0.5,0.8,-0.7,1.1,-0.9,0.2,0.3,1.2,1.7,0.1,-0.4,-1.3,0.6,-0.9,0.6,0.2,-1.1,-0.3,-1.0,1.6,0.2,-1.3,0.1,0.8,0.9,-0.7,-0.1,0.3
0.2,-0.3,-1.4,0.6,-0.5,-1.0,-0.3,0.6,-1.2,1.1,-1.1,0.6,0.5,1.2,0.2,-0.8,-0.4,-1.3,0.4,1.1,0.1,-0.1,0.6,0.5,-0.3,0.1,-0.3,0.1,0.6,-0.4,-0.9,0.1,-1.6,-0.9,69.4,0.1,0.9,-0.6,-0.9,1.8,0.1,-0.4,-0.2,1.0,0.2,-0.4,0.2,-1.3,-0.2,1.5,-0.1,-1.6,-0.1,-0.9,-1.4,0.2,1.7,-0.1,-0.2,1.1,-0.2,1.2,0.7,-0.4,0.7,-0.4,0.2,0.1,0.5,1.3,1.9,-0.7,-1.6,-1.5,-1.5,-0.7,0.1,-0.1,0.4,0.7,-0.3,0.1,-0.2,0.1,-1.6,1.1,0.6,1.6,1.7,-1.8,-1.2,-1.2,0.8,0.2,1.6,0.5,-0.5,0.2,-0.1,0.5
0.7,-0.4,1.1,0.4,-0.8,-1.1,-0.6,-0.8,0.6,0.2,-0.2,0.4,-0.1,0.4,0.2,0.1,0.7,-0.7,-0.3,-0.4,0.9,-0.4,-0.3,-0.2,1.8,0.1,0.1,-0.6,-0.3,1.0,0.3,1.0,0.4,0.1,0.1,60.8,1.0,1.0,0.1,0.1,0.8,-1.6,1.4,0.8,-0.7,-0.7,-0.7,0.1,0.1,-1.0,1.4,1.1,-1.0,1.4,-0.4,0.5,-0.8,1.0,0.1,0.2,1.6,-0.2,-0.5,0.2,-1.7,-0.5,1.2,-0.7,-0.5,-0.2,-0.7,-0.2,-0.7,-0.2,1.0,-0.4,1.5,-0.6,-0.4,0.2,-0.9,0.7,0.5,0.1,0.1,0.1,0.7,-0.1,0.1,-0.3,-1.3,0.5,0.3,-1.8,0.7,1.5,0.5,0.5,-0.1,1.0
-0.5,-1.2,0.9,1.1,0.2,0.1,1.6,0.1,1.4,-0.1,1.6,1.2,1.1,-1.3,1.4,1.0,1.1,-1.5,0.3,1.5,-1.2,-1.4,-0.9,0.2,-0.9,-0.4,0.3,-0.4,-0.4,-0.2,0.7,-1.7,-0.2,0.6,0.9,1.0,69.9,-0.1,-0.3,0.5,-1.3,-0.1,0.8,0.7,-0.2,-1.1,-0.9,-0.9,-0.4,-0.6,0.8,0.9,0.2,-1.8,1.2,1.8,0.2,0.1,1.1,0.9,0.2,-0.6,0.3,0.6,0.1,0.2,0.7,0.4,0.6,1.0,0.2,0.8,-0.4,-0.3,0.1,-0.2,0.8,1.0,-0.9,-0.4,0.7,0.9,0.6,-0.1,0.1,0.2,-0.5,-0.4,-0.3,0.5,-0.8,-1.4,-0.4,1.3,-0.2,-0.6,-0.7,0.5,-1.1,1.3
0.2,0.5,-0.7,0.1,0.7,1.6,-1.0,0.5,-1.3,-0.3,-1.5,0.6,-0.3,0.1,-0.2,0.8,0.5,0.1,0.4,-0.2,1.3,-0.7,-0.8,-1.1,0.9,-0.5,1.1,0.9,0.8,0.3,1.0,1.5,-0.6,-1.5,-0.6,1.0,-0.1,64.3,-0.5,0.1,-0.3,1.7,0.4,-0.4,-0.2,-0.2,-1.8,0.1,-0.2,-0.9,-0.8,-1.0,-0.6,-0.2,-0.3,0.4,-1.4,-1.5,-0.5,-1.3,-0.3,0.1,0.1,-0.1,1.2,-0.1,-0.5,1.3,0.2,0.3,-0.3,-0.4,1.2,-1.4,-0.7,1.0,-1.1,0.9,0.3,-0.8,-0.7,-0.5,-0.5,0.1,-0.1,-1.3,1.2,-0.2,-0.9,-0.1,1.4,-0.4,1.2,-0.1,0.2,0.1,-0.2,0.1,0.4,-1.2
-1.2,-0.2,0.3,-0.1,0.5,-1.5,-0.4,0.1,-1.0,-0.1,0.7,0.4,0.1,1.2,1.3,-0.6,-0.1,-1.0,0.4,-1.0,0.7,0.6,0.1,-0.4,1.1,0.1,0.7,0.9,1.5,0.1,0.2,-0.4,-1.0,-0.5,-0.9,0.1,-0.3,-0.5,61.3,-0.1,0.9,-1.0,0.9,-0.4,0.3,1.5,-0.8,0.3,-0.2,0.1,0.1,-0.9,-1.5,-0.7,1.4,-0.2,-0.2,-0.3,-0.2,-0.6,-0.6,0.6,0.1,-1.1,-0.6,-0.1,-0.5,-1.4,0.2,-0.8,-0.2,1.5,0.3,0.8,0.3,-0.1,0.8,0.6,-1.2,1.7,0.9,-0.1,-0.7,0.9,-1.4,0.5,1.0,-1.0,-0.4,-0.7,-0.1,0.8,1.5,-0.2,0.3,0.5,0.1,1.1,-0.4,0.3
-1.2,-1.5,-0.8,-0.2,-0.6,-0.7,-1.4,-0.5,-0.2,0.7,0.1,1.3,0.1,-0.5,-0.6,-0.2,-0.3,0.1,1.5,-1.0,1.0,0.1,-0.1,0.7,0.1,0.1,0.1,0.1,0.1,-0.6,-0.4,-0.2,-0.3,0.1,1.8,0.1,0.5,0.1,-0.1,60.4,-0.2,-0.8,0.2,0.8,0.4,1.5,0.5,0.6,-1.3,0.9,-0.4,0.1,0.5,1.2,-0.7,0.1,-0.7,0.7,-0.8,1.6,0.9,0.1,-0.3,0.5,0.4,0.3,0.2,-0.3,-0.5,-1.0,-0.1,-0.5,0.1,-1.4,-0.6,-1.1,-1.0,0.9,0.6,-0.9,-0.2,1.0,-0.9,1.4,-0.4,-0.1,-0.3,0.9,-0.6,-0.3,0.8,0.7,0.2,1.4,0.5,1.1,-0.8,1.5,0.4,1.1
-0.1,0.3,0.2,-0.7,-1.6,1.0,0.9,0.7,0.2,0.1,0.2,-0.3,0.6,-1.0,-0.5,0.1,-0.8,-0.5,-0.6,0.1,-0.4,0.9,-0.6,0.6,0.8,-0.2,-0.2,-0.5,-0.7,1.5,-0.5,-0.6,0.1,0.2,0.1,0.8,-1.3,-0.3,0.9,-0.2,68.2,-0.5,-0.7,-1.1,1.5,-1.4,0.5,0.6,-1.4,0.2,1.6,-0.1,0.4,0.1,-0.7,-0.1,-1.8,-0.2,1.3,0.8,1.1,0.1,-1.9,-1.1,0.3,0.5,0.5,0.7,1.3,1.4,1.7,-0.4,0.2,-1.5,0.1,0.9,0.6,0.6,-0.5,0.2,1.1,1.3,-0.2,1.1,-1.1,0.6,-1.4,0.7,0.3,-1.0,-0.3,0.1,-1.8,1.4,0.8,0.3,0.7,-0.8,-0.4,0.3
-0.7,0.8,0.2,0.9,1.4,1.4,-0.6,0.8,0.1,0.8,-1.2,0.7,1.3,-0.3,0.4,-0.5,-0.9,1.3,-0.1,-0.4,-1.5,0.5,-0.8,1.4,-1.7,0.2,0.4,0.6,-0.7,1.3,-0.3,-1.2,-1.0,0.7,-0.4,-1.6,-0.1,1.7,-1.0,-0.8,-0.5,64.2,0.3,0.9,-0.3,-0.3,0.4,-0.4,-0.2,0.4,0.4,-0.3,0.7,-0.1,0.3,1.3,0.1,-0.5,0.5,0.8,0.2,0.1,0.8,-0.3,-0.8,-0.6,-0.8,-0.4,-0.2,0.3,-0.2,-0.1,-0.1,0.9,-0.8,-0.6,1.3,-1.1,-0.6,-0.8,-0.5,0.6,-1.1,0.8,-0.7,-1.1,-0.3,-0.2,-0.5,-0.3,0.2,0.1,-0.3,-1.8,0.3,0.8,0.3,0.5,-0.2,1.2
0.3,-0.9,-1.1,-0.8,-0.4,0.2,-1.3,0.1,0.6,-1.2,1.7,-0.8,-0.6,0.6,-1.4,-0.1,1.2,-0.8,1.6,0.3,0.1,0.7,-0.3,0.3,-0.3,-0.2,0.2,-0.2,-0.9,0.2,-1.7,0.3,0.6,0.3,-0.2,1.4,0.8,0.4,0.9,0.2,-0.7,0.3,63.9,0.7,-0.7,-1.2,-0.4,1.1,-1.0,0.7,-1.0,1.4,1.4,0.1,-0.3,0.8,0.7,-0.1,0.2,-0.3,0.2,-0.5,0.1,-0.3,0.2,-1.7,-0.4,1.1,0.5,-1.0,-0.1,-0.5,0.5,-0.9,0.6,0.6,0.8,-1.1,-0.3,0.7,0.1,0.1,1.3,1.5,-1.6,-0.1,0.1,0.6,-1.3,0.1,-0.2,0.5,0.2,-0.6,0.2,1.1,-1.6,0.7,-0.2,-0.4
0.8,0.1,-0.5,-0.7,-0.9,-0.4,-0.3,1.4,0.4,-0.6,-1.0,-0.6,1.3,0.4,-0.5,0.4,-0.7,0.8,0.9,0.6,0.8,0.5,-0.1,-0.5,-0.7,0.5,-0.9,0.3,-1.1,1.5,-0.3,-0.3,-1.7,1.1,1.0,0.8,0.7,-0.4,-0.4,0.8,-1.1,0.9,0.7,68.4,0.6,0.6,-1.2,0.4,0.8,0.1,-1.3,-1.1,-1.0,0.1,0.1,0.5,0.1,0.9,-1.3,-1.1,-1.6,-0.1,-0.4,1.3,-1.3,-0.7,0.2,0.2,0.1,-0.3,0.1,-1.5,-0.3,-0.6,-0.4,1.1,-1.3,0.2,-1.4,-0.5,0.1,0.1,1.0,-0.2,-0.4,-0.2,-0.7,-0.8,0.4,0.4,1.4,0.9,0.1,1.4,1.0,1.3,-0.3,-0.4,0.4,-1.7
0.4,0.8,-1.5,1.0,-1.6,1.1,-0.9,-0.6,0.3,0.8,-0.7,0.9,-0.7,-0.5,0.1,-0.5,0.2,-0.5,0.1,-1.4,1.1,0.3,0.8,-0.4,-1.1,-0.2,-1.2,-0.1,0.8,1.4,-0.8,-0.2,-0.3,1.3,0.2,-0.7,-0.2,-0.2,0.3,0.4,1.5,-0.3,-0.7,0.6,68.7,1.7,-0.1,0.2,-0.2,-0.5,0.2,0.3,1.2,0.5,0.1,0.3,-0.7,1.3,-1.2,-1.4,0.5,0.1,-0.1,-0.1,-0.1,-1.0,-0.3,-0.3,-1.0,-1.4,0.6,1.5,1.0,0.1,1.3,-1.4,1.2,0.5,-0.2,-0.5,-0.2,0.3,0.1,1.0,0.6,-0.4,-0.2,-1.8,1.3,0.5,-1.3,1.1,-1.3,0.7,1.6,-0.4,1.3,1.3,-0.2,0.3
-0.2,0.6,1.4,0.9,-1.1,-1.0,-1.1,-1.5,-0.3,1.0,-1.4,-0.5,-0.3,0.4,-0.9,0.2,-1.1,-0.5,-1.0,-1.0,0.1,-0.1,0.3,0.1,0.3,0.7,1.0,0.1,0.3,1.8,1.8,-1.3,-1.0,-0.1,-0.4,-0.7,-1.1,-0.2,1.5,1.5,-1.4,-0.3,-1.2,0.6,1.7,74.8,0.6,0.9,0.7,0.6,-0.6,0.1,0.2,-1.4,-0.4,0.2,0.1,-0.9,0.6,0.1,-1.1,-0.9,-1.8,0.1,-0.3,-0.8,0.6,0.7,-0.7,-0.6,0.6,-0.8,-0.1,0.6,-1.1,0.8,-0.6,-0.2,0.8,-0.1,0.1,0.7,-1.2,-1.0,-0.4,1.3,1.1,1.1,1.8,1.4,1.5,-1.1,1.0,-1.0,-0.1,-0.6,-1.1,0.3,-0.1,-1.2
0.2,-0.2,-1.0,1.1,-0.8,0.6,1.2,-0.1,-0.6,1.7,-0.6,-1.2,0.3,-0.4,1.4,1.0,0.4,-0.3,0.8,0.8,0.3,-0.4,0.9,0.8,-0.3,0.4,-0.3,1.1,-0.3,-0.5,0.1,1.1,-0.4,-0.8,0.2,-0.7,-0.9,-1.8,-0.8,0.5,0.5,0.4,-0.4,-1.2,-0.1,0.6,62.1,-0.2,-1.1,-0.4,0.8,1.2,-0.6,-0.1,1.4,0.6,-0.5,-0.3,0.8,1.4,-0.1,-0.6,0.8,0.5,0.9,0.2,0.1,0.2,0.6,0.4,-0.2,-0.7,-0.9,-0.8,0.1,0.5,-0.7,-0.1,-1.3,-0.8,-0.1,0.1,0.8,0.2,-0.5,-2.0,0.4,-0.2,1.3,0.5,-1.3,-0.7,0.1,0.1,0.5,-0.1,-0.1,1.3,-0.1,-1.3
1.0,-0.1,-0.1,0.9,0.3,-0.7,-0.3,1.2,0.6,-1.3,-0.4,-1.3,-1.0,-0.2,-0.2,0.2,0.9,0.5,0.9,0.1,0.7,0.1,-0.1,0.2,0.8,-1.0,-1.0,-0.7,0.4,-0.9,0.8,1.3,-1.0,-0.3,-1.3,0.1,-0.9,0.1,0.3,0.6,0.6,-0.4,1.1,0.4,0.2,0.9,-0.2,62.2,0.5,-0.8,1.4,0.1,-0.2,-0.7,-0.2,-0.5,0.1,-0.4,1.8,1.4,0.6,0.4,-0.4,0.2,-0.7,1.8,-1.5,0.1,0.6,0.1,1.3,-1.3,0.2,0.2,-0.4,-1.4,0.1,-0.1,1.0,-0.3,1.0,1.0,-0.7,-1.3,0.1,-0.3,-0.3,-1.0,-1.4,0.4,-0.3,0.9,-0.5,0.6,0.7,0.6,0.1,-1.3,-0.2,0.1
0.9,0.4,0.6,-0.6,0.3,-1.1,0.2,-1.7,1.2,-1.4,-0.1,0.5,-1.5,-0.3,0.9,1.0,0.6,-0.2,-0.3,0.6,0.1,0.5,-0.5,0.3,0.4,-1.2,0.9,-0.9,-0.5,1.6,0.8,-0.2,1.2,0.5,-0.2,0.1,-0.4,-0.2,-0.2,-1.3,-1.4,-0.2,-1.0,0.8,-0.2,0.7,-1.1,0.5,67.8,1.3,-0.8,-1.2,-0.1,-0.1,-0.4,-1.3,0.1,1.6,-1.9,0.1,0.3,0.1,0.6,-0.8,0.9,-0.6,-0.1,0.6,0.1,1.5,0.1,0.2,0.1,-1.4,-0.9,1.0,0.2,-0.6,0.9,-0.3,0.4,0.4,-0.3,-1.0,-0.1,1.2,0.9,0.9,-1.1,1.5,-1.2,-1.3,-0.2,-0.8,1.6,0.5,1.0,-0.7,0.1,0.1
-0.4,-0.4,-1.0,0.1,-1.1,-0.7,-0.6,0.8,0.1,0.3,-1.4,-1.0,0.1,1.3,-1.4,-1.4,1.7,1.8,1.1,0.3,0.5,-1.4,0.4,-1.6,1.0,0.6,-0.6,0.4,0.3,-2.0,0.6,0.6,0.6,-1.2,1.5,-1.0,-0.6,-0.9,0.1,0.9,0.2,0.4,0.7,0.1,-0.5,0.6,-0.4,-0.8,1.3,69.5,0.1,0.9,0.8,0.6,0.1,0.3,1.3,-0.6,-1.2,0.7,1.4,-0.5,-0.2,0.5,0.4,0.1,-0.1,-1.2,-0.1,0.3,-1.8,-0.6,-0.4,-1.0,0.1,0.9,-0.9,-0.4,0.4,0.1,0.2,-0.8,1.4,-1.0,1.1,0.2,1.0,0.4,0.8,-0.7,-1.0,-0.5,0.1,-0.6,1.9,0.1,-0.4,0.1,-0.3,0.1
0.2,0.1,-0.5,1.3,0.5,-1.0,-0.8,0.1,-0.1,0.3,-0.3,0.2,-0.3,-0.6,-1.2,-1.4,-0.3,-0.3,-0.9,-0.4,0.2,0.4,1.7,-0.5,-1.6,-0.8,0.1,1.7,0.5,-0.3,0.8,-0.9,-1.1,0.7,-0.1,1.4,0.8,-0.8,0.1,-0.4,1.6,0.4,-1.0,-1.3,0.2,-0.6,0.8,1.4,-0.8,0.1,68.8,0.9,-0.1,1.4,0.6,0.5,-1.2,1.2,-0.8,-0.1,-0.2,-0.6,-0.4,-0.9,1.7,-1.0,-1.6,-0.3,0.4,-0.8,-0.9,-0.8,-0.2,0.5,-1.0,0.2,-0.7,0.2,-1.0,-0.7,-0.5,0.1,0.2,-1.2,0.6,1.5,1.1,-0.7,-1.0,0.5,0.3,0.5,0.6,-0.4,-1.0,-1.6,0.3,-0.8,-0.8,-0.3
-1.8,-0.7,1.0,-0.7,-0.3,-0.7,-0.7,-0.4,-1.5,1.0,0.3,0.2,-0.2,0.1,0.4,1.2,-0.6,-0.1,-1.4,-0.9,-0.5,-0.3,0.6,0.1,-1.1,-0.4,0.5,1.2,-0.4,-0.9,0.1,0.6,-0.8,-1.7,-1.6,1.1,0.9,-1.0,-0.9,0.1,-0.1,-0.3,1.4,-1.1,0.3,0.1,1.2,0.1,-1.2,0.9,0.9,72.4,-0.5,1.0,0.6,0.5,-0.5,0.2,-1.5,-0.5,-0.9,1.3,0.4,-0.5,-0.5,1.1,0.9,-0.7,0.6,-1.5,0.8,-0.3,1.1,0.3,-0.4,0.1,-0.1,-0.2,0.3,1.2,-0.8,-0.3,-1.5,-1.3,-0.3,-0.9,-1.4,0.2,0.5,1.0,-0.5,-0.9,-1.3,-0.2,1.6,-0.2,-0.9,-1.2,-1.7,0.6
-0.2,-0.4,1.2,0.3,1.2,0.3,-1.6,1.8,-0.6,-0.1,-0.5,-0.4,-0.9,-0.3,-1.7,-1.5,-1.0,-0.1,-0.3,-0.9,-0.2,-0.6,0.6,-1.0,-0.7,-0.8,-1.4,0.8,-0.8,-1.2,-0.9,-0.1,0.8,-0.4,-0.1,-1.0,0.2,-0.6,-1.5,0.5,0.4,0.7,1.4,-1.0,1.2,0.2,-0.6,-0.2,-0.1,0.8,-0.1,-0.5,71.0,-1.1,0.5,1.8,1.2,0.7,0.3,-0.1,0.7,-1.7,-0.4,0.1,1.5,1.0,0.7,-1.5,0.7,-1.1,-0.6,0.1,-1.3,0.4,1.4,-0.4,-0.9,0.4,-0.1,-0.1,0.1,-1.0,-0.1,0.3,-1.1,0.1,-0.3,-0.3,-1.2,-0.2,-1.7,-0.7,1.7,0.5,-0.3,-0.2,1.0,-1.2,0.1,1.4
0.4,0.1,-0.2,-0.1,0.2,-0.4,0.2,-0.9,-0.4,0.7,0.8,0.2,-0.2,0.1,-0.8,-1.5,-0.4,-0.1,-0.1,0.6,-0.3,-0.7,-1.4,-1.1,1.3,-0.5,0.4,-1.2,-0.4,-0.2,-1.1,-1.2,0.5,0.6,-0.9,1.4,-1.8,-0.2,-0.7,1.2,0.1,-0.1,0.1,0.1,0.5,-1.4,-0.1,-0.7,-0.1,0.6,1.4,1.0,-1.1,63.0,-0.6,-0.4,-0.5,-0.3,-1.0,0.9,0.1,0.6,0.1,-0.5,1.3,-0.4,-0.9,1.6,1.1,0.1,-0.2,0.5,0.1,0.2,-1.2,0.7,-0.6,1.3,1.5,-1.5,-0.5,-0.4,-0.8,-0.3,1.1,0.1,-0.6,0.5,-1.3,-0.1,-0.8,0.4,0.3,-0.2,-0.8,-1.1,1.1,0.6,0.4,-0.6
-0.8,0.3,-0.5,1.0,1.2,0.7,0.9,0.4,0.9,-0.2,-0.5,-0.6,-0.1,-1.7,0.6,-1.2,1.0,0.1,-0.5,-0.8,0.5,-0.5,0.3,-0.1,-0.1,0.7,0.6,1.1,0.1,0.1,-1.2,0.9,-1.8,-0.3,-1.4,-0.4,1.2,-0.3,1.4,-0.7,-0.7,0.3,-0.3,0.1,0.1,-0.4,1.4,-0.2,-0.4,0.1,0.6,0.6,0.5,-0.6,60.8,-1.1,-1.4,-1.5,-0.4,0.1,0.4,0.9,0.6,0.8,0.5,0.1,-0.3,-0.2,0.5,-1.2,0.8,0.1,-0.7,-0.5,-0.4,0.6,1.1,-0.3,-0.5,-0.9,-0.3,0.9,0.2,0.1,-0.4,-1.8,0.2,-0.2,-0.3,-0.9,0.5,-1.2,-0.6,-0.1,-0.4,-0.7,-0.2,-0.7,0.3,0.9
-1.3,-1.2,-1.0,-0.4,1.4,-0.6,0.7,0.1,1.7,0.7,0.4,1.4,0.6,-1.0,0.8,-1.3,-0.6,-1.5,0.6,-0.8,0.5,-0.8,-1.1,0.5,-1.8,-0.5,0.3,-0.2,0.3,-1.1,0.4,0.1,-0.9,-0.3,0.2,0.5,1.8,0.4,-0.2,0.1,-0.1,1.3,0.8,0.5,0.3,0.2,0.6,-0.5,-1.3,0.3,0.5,0.5,1.8,-0.4,-1.1,70.5,-0.1,1.4,-0.2,-1.0,0.1,-0.2,-1.0,-0.6,0.7,0.3,0.1,1.1,1.6,-1.5,-0.4,-0.8,-0.7,1.3,0.3,0.1,-0.2,-0.2,-1.2,-0.7,0.8,-0.7,-1.2,-0.2,-1.8,-0.4,0.1,-0.4,-1.1,0.1,0.1,-1.3,0.8,1.2,0.1,-1.6,1.4,0.4,0.2,-0.5
1.1,1.6,0.6,-0.2,0.3,-0.5,-1.4,-0.8,-0.4,0.1,-0.7,0.1,-0.3,0.4,-0.9,-0.7,0.1,0.9,0.9,-1.6,-0.3,-0.6,0.4,-0.5,0.8,1.0,1.1,0.9,0.3,0.1,0.1,-1.1,0.6,0.3,1.7,-0.8,0.2,-1.4,-0.2,-0.7,-1.8,0.1,0.7,0.1,-0.7,0.1,-0.5,0.1,0.1,1.3,-1.2,-0.5,1.2,-0.5,-1.4,-0.1,63.3,0.3,0.1,0.3,-1.4,0.9,0.4,0.1,-0.4,1.1,0.6,0.1,0.1,-1.2,0.5,-0.1,0.1,-0.7,1.1,-0.6,-1.0,0.1,1.1,1.4,-0.4,-0.6,-0.4,0.1,-1.0,-1.4,-1.0,1.0,0.1,-0.7,1.2,-0.3,-0.4,0.2,0.8,1.0,-0.8,0.3,0.7,0.1
-0.6,-0.2,-0.2,0.1,-0.8,0.7,1.0,-0.1,0.5,0.2,-0.2,0.1,0.6,-0.4,0.1,-0.9,1.8,-0.8,-0.4,-0.1,-0.1,-0.4,-1.3,0.5,-0.4,0.2,0.4,1.8,-0.4,-0.4,-1.3,0.2,0.3,-0.6,-0.1,1.0,0.1,-1.5,-0.3,0.7,-0.2,-0.5,-0.1,0.9,1.3,-0.9,-0.3,-0.4,1.6,-0.6,1.2,0.2,0.7,-0.3,-1.5,1.4,0.3,63.0,-0.7,0.4,0.1,0.4,0.9,0.3,-1.1,-1.4,0.2,-1.9,0.9,-1.3,-0.3,-0.8,0.6,-0.6,-0.3,0.8,-0.4,0.1,-1.0,0.1,0.5,-0.2,-0.3,-1.5,-0.1,1.1,0.1,-1.5,-1.3,-0.7,0.9,-0.3,-0.3,-0.3,0.2,-0.9,0.6,-1.2,-1.3,0.9
1.3,0.6,0.3,0.4,0.5,0.1,-0.2,-1.2,0.7,0.2,0.5,-0.6,-1.3,0.2,-0.6,-0.9,-0.1,0.9,-0.9,1.6,0.1,-0.8,-1.6,-0.1,-0.5,0.3,1.2,0.7,0.1,-0.1,-0.1,0.9,0.1,0.7,-0.2,0.1,1.1,-0.5,-0.2,-0.8,1.3,0.5,0.2,-1.3,-1.2,0.6,0.8,1.8,-1.9,-1.2,-0.8,-1.5,0.3,-1.0,-0.4,-0.2,0.1,-0.7,68.2,-0.7,-0.6,0.9,-0.6,-0.7,-0.3,0.3,-1.4,-0.7,-1.2,0.6,0.1,-0.6,0.8,0.1,-0.6,0.2,0.7,1.5,-0.4,1.4,-0.8,-1.5,-0.5,-0.9,1.2,0.9,0.1,0.1,-0.2,-0.6,0.9,-0.2,0.3,0.3,-0.5,-1.5,0.4,-1.1,-1.8,-0.9
0.8,0.6,0.4,-0.4,0.8,0.9,1.5,0.1,-1.9,-0.6,-1.3,0.9,1.2,0.2,1.6,0.1,0.1,1.2,-1.8,0.9,-0.3,0.6,-0.7,0.2,0.3,0.2,-0.3,-1.1,1.5,-0.2,0.4,-0.2,1.2,-0.3,1.1,0.2,0.9,-1.3,-0.6,1.6,0.8,0.8,-0.3,-1.1,-1.4,0.1,1.4,1.4,0.1,0.7,-0.1,-0.5,-0.1,0.9,0.1,-1.0,0.3,0.4,-0.7,67.9,-0.2,1.0,-0.6,1.0,-1.4,-1.5,0.3,-0.8,-0.7,0.1,0.7,-0.6,0.1,0.3,1.0,0.4,0.4,-0.6,-1.0,0.8,-0.3,0.4,0.3,0.2,-1.2,0.3,-0.7,-0.2,-0.5,-0.8,-0.5,0.8,-0.6,0.3,-0.9,0.5,-0.7,-0.4,1.4,0.7
0.6,-0.6,0.9,-0.3,0.2,-0.2,1.9,1.0,-1.0,-0.5,-1.6,0.6,1.4,1.1,1.6,0.5,0.6,0.9,-1.1,-0.2,-1.1,-1.5,-1.4,-0.3,0.6,-0.5,-0.8,0.4,-0.2,-0.1,1.3,-1.4,-1.2,1.2,-0.2,1.6,0.2,-0.3,-0.6,0.9,1.1,0.2,0.2,-1.6,0.5,-1.1,-0.1,0.6,0.3,1.4,-0.2,-0.9,0.7,0.1,0.4,0.1,-1.4,0.1,-0.6,-0.2,72.7,-0.3,1.5,-0.8,-1.2,-0.1,-1.7,-0.2,1.1,1.4,-0.9,-1.6,0.2,0.9,-0.4,1.6,-0.6,-1.5,0.1,0.1,0.1,0.1,0.4,-1.2,0.5,-0.9,-1.6,0.1,-1.2,-1.1,0.1,-0.2,1.7,0.1,0.1,-0.2,-0.7,-0.2,0.7,0.9
-0.6,-1.7,-0.1,0.5,-1.1,0.5,0.4,0.6,0.8,-0.5,-1.6,-1.8,-0.5,0.1,0.8,-1.2,-1.5,-0.2,0.2,-1.4,-1.2,1.1,-0.2,1.2,-1.0,1.3,-0.9,1.3,1.2,-0.9,-0.3,0.4,1.8,0.7,1.2,-0.2,-0.6,0.1,0.6,0.1,0.1,0.1,-0.5,-0.1,0.1,-0.9,-0.6,0.4,0.1,-0.5,-0.6,1.3,-1.7,0.6,0.9,-0.2,0.9,0.4,0.9,1.0,-0.3,69.4,0.5,-1.3,0.1,-0.9,0.7,0.8,-0.4,-0.2,0.1,0.2,1.6,0.6,-1.0,0.4,-1.1,1.3,-0.4,0.5,0.1,-0.7,-1.0,-0.2,-1.0,-0.3,0.3,0.7,1.0,0.3,0.8,0.4,0.2,-0.4,0.9,1.8,-1.0,-0.7,-0.8,-0.1
